AREA_NAME,YEAR,RAPE_CASES_REPORTED,VICTIMS_BETWEEN_10-14_YRS,VICTIMS_BETWEEN_14-18_YRS,VICTIMS_BETWEEN_18-30_YRS,VICTIMS_BETWEEN_30-50_YRS,VICTIMS_ABOVE_50_YRS,VICTIMS_OF_RAPE_TOTAL
NAGALAND,2008,18,0,0,18,0,0,18
ODISHA,2008,1113,27,24,645,388,12,1096
ODISHA,2008,17,0,1,13,1,0,15
ODISHA,2008,1096,27,23,632,387,12,1081
PUDUCHERRY,2008,8,1,3,3,1,0,8
PUDUCHERRY,2008,0,0,0,0,0,0,0
PUDUCHERRY,2008,8,1,3,3,1,0,8
PUNJAB,2008,517,36,45,359,47,5,492
PUNJAB,2008,2,0,0,1,1,0,2
PUNJAB,2008,515,36,45,358,46,5,490
RAJASTHAN,2008,1355,116,275,706,219,10,1326
RAJASTHAN,2008,40,6,7,21,4,0,38
RAJASTHAN,2008,1315,110,268,685,215,10,1288
SIKKIM,2008,20,3,1,8,0,0,12
SIKKIM,2008,1,0,0,0,0,0,0
SIKKIM,2008,19,3,1,8,0,0,12
TAMIL NADU,2008,573,29,131,340,46,0,546
TAMIL NADU,2008,1,0,0,0,0,0,0
TAMIL NADU,2008,572,29,131,340,46,0,546
TRIPURA,2008,204,23,65,96,4,0,188
TRIPURA,2008,0,0,0,0,0,0,0
TRIPURA,2008,204,23,65,96,4,0,188
UTTAR PRADESH,2008,1871,171,685,785,186,0,1827
UTTAR PRADESH,2008,1,0,0,0,1,0,1
UTTAR PRADESH,2008,1870,171,685,785,185,0,1826
UTTARAKHAND,2008,87,4,5,64,14,0,87
UTTARAKHAND,2008,6,2,1,2,1,0,6
UTTARAKHAND,2008,81,2,4,62,13,0,81
WEST BENGAL,2008,2263,53,54,1629,504,1,2241
WEST BENGAL,2008,9,2,1,1,0,0,4
WEST BENGAL,2008,2254,51,53,1628,504,1,2237
ANDAMAN & NICOBAR ISLANDS,2009,18,3,7,5,1,0,16
ANDAMAN & NICOBAR ISLANDS,2009,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,2009,18,3,7,5,1,0,16
ANDHRA PRADESH,2009,1188,167,208,642,116,14,1147
ANDHRA PRADESH,2009,2,0,2,0,0,0,2
ANDHRA PRADESH,2009,1186,167,206,642,116,14,1145
ARUNACHAL PRADESH,2009,59,12,0,42,1,0,55
ARUNACHAL PRADESH,2009,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,59,12,0,42,1,0,55
ASSAM,2009,1631,6,3,1230,377,14,1630
ASSAM,2009,9,0,0,7,2,0,9
ASSAM,2009,1622,6,3,1223,375,14,1621
BIHAR,2009,929,19,32,765,101,0,917
BIHAR,2009,1,0,0,1,0,0,1
BIHAR,2009,928,19,32,764,101,0,916
CHANDIGARH,2009,29,8,10,8,0,0,26
CHANDIGARH,2009,0,0,0,0,0,0,0
CHANDIGARH,2009,29,8,10,8,0,0,26
CHHATTISGARH,2009,976,227,87,460,113,9,896
CHHATTISGARH,2009,24,2,8,6,5,2,23
CHHATTISGARH,2009,952,225,79,454,108,7,873
DADRA & NAGAR HAVELI,2009,4,2,0,2,0,0,4
DADRA & NAGAR HAVELI,2009,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,2009,4,2,0,2,0,0,4
DAMAN & DIU,2009,1,0,0,0,0,0,0
DAMAN & DIU,2009,0,0,0,0,0,0,0
DAMAN & DIU,2009,1,0,0,0,0,0,0
DELHI,2009,469,72,188,141,20,1,422
DELHI,2009,19,3,5,6,2,0,16
DELHI,2009,450,69,183,135,18,1,406
GOA,2009,47,11,21,15,2,0,49
GOA,2009,1,0,1,0,0,0,1
GOA,2009,46,11,20,15,2,0,48
GUJARAT,2009,433,27,50,308,32,1,418
GUJARAT,2009,18,2,3,10,2,0,17
GUJARAT,2009,415,25,47,298,30,1,401
HARYANA,2009,603,27,70,430,54,3,584
HARYANA,2009,12,2,0,7,1,0,10
HARYANA,2009,591,25,70,423,53,3,574
HIMACHAL PRADESH,2009,183,16,55,84,16,0,171
HIMACHAL PRADESH,2009,10,2,5,1,1,0,9
HIMACHAL PRADESH,2009,173,14,50,83,15,0,162
JAMMU & KASHMIR,2009,237,1,3,177,52,2,235
JAMMU & KASHMIR,2009,4,1,0,2,1,0,4
JAMMU & KASHMIR,2009,233,0,3,175,51,2,231
JHARKHAND,2009,719,0,5,494,216,0,715
JHARKHAND,2009,22,0,0,16,6,0,22
JHARKHAND,2009,697,0,5,478,210,0,693
KARNATAKA,2009,509,49,18,361,38,4,470
KARNATAKA,2009,18,0,0,17,1,0,18
KARNATAKA,2009,491,49,18,344,37,4,452
KERALA,2009,568,45,157,253,70,10,535
KERALA,2009,18,3,7,4,1,0,15
KERALA,2009,550,42,150,249,69,10,520
LAKSHADWEEP,2009,1,0,0,1,0,0,1
LAKSHADWEEP,2009,0,0,0,0,0,0,0
LAKSHADWEEP,2009,1,0,0,1,0,0,1
MADHYA PRADESH,2009,2998,291,704,1405,511,11,2922
MADHYA PRADESH,2009,14,1,9,2,1,0,13
MADHYA PRADESH,2009,2984,290,695,1403,510,11,2909
MAHARASHTRA,2009,1483,121,363,713,157,8,1362
MAHARASHTRA,2009,76,3,19,47,3,0,72
MAHARASHTRA,2009,1407,118,344,666,154,8,1290
MANIPUR,2009,31,5,2,9,9,1,26
MANIPUR,2009,0,0,0,0,0,0,0
MANIPUR,2009,31,5,2,9,9,1,26
MEGHALAYA,2009,112,23,19,41,7,3,93
MEGHALAYA,2009,5,2,1,1,0,0,4
MEGHALAYA,2009,107,21,18,40,7,3,89
MIZORAM,2009,83,3,3,42,30,0,78
MIZORAM,2009,3,1,0,0,0,0,1
MIZORAM,2009,80,2,3,42,30,0,77
NAGALAND,2009,22,0,0,17,5,0,22
NAGALAND,2009,0,0,0,0,0,0,0
NAGALAND,2009,22,0,0,17,5,0,22
ODISHA,2009,1023,24,57,747,182,7,1017
ODISHA,2009,6,1,0,5,0,0,6
ODISHA,2009,1017,23,57,742,182,7,1011
PUDUCHERRY,2009,1,0,1,0,0,0,1
PUDUCHERRY,2009,0,0,0,0,0,0,0
PUDUCHERRY,2009,1,0,1,0,0,0,1
PUNJAB,2009,511,48,131,258,43,1,481
PUNJAB,2009,8,2,3,3,0,0,8
PUNJAB,2009,503,46,128,255,43,1,473
RAJASTHAN,2009,1519,55,288,856,289,4,1492
RAJASTHAN,2009,36,3,7,20,4,0,34
RAJASTHAN,2009,1483,52,281,836,285,4,1458
SIKKIM,2009,18,5,5,2,2,0,14
SIKKIM,2009,0,0,0,0,0,0,0
SIKKIM,2009,18,5,5,2,2,0,14
TAMIL NADU,2009,596,34,120,390,22,2,568
TAMIL NADU,2009,4,0,3,0,0,0,3
TAMIL NADU,2009,592,34,117,390,22,2,565
TRIPURA,2009,190,22,51,79,28,0,180
TRIPURA,2009,0,0,0,0,0,0,0
TRIPURA,2009,190,22,51,79,28,0,180
UTTAR PRADESH,2009,1759,416,166,911,223,0,1716
UTTAR PRADESH,2009,2,0,1,0,0,0,1
UTTAR PRADESH,2009,1757,416,165,911,223,0,1715
UTTARAKHAND,2009,111,3,3,89,15,0,110
UTTARAKHAND,2009,6,3,1,2,0,0,6
UTTARAKHAND,2009,105,0,2,87,15,0,104
WEST BENGAL,2009,2336,18,85,1835,392,0,2330
WEST BENGAL,2009,3,0,1,1,1,0,3
WEST BENGAL,2009,2333,18,84,1834,391,0,2327
ANDAMAN & NICOBAR ISLANDS,2010,24,1,12,8,1,0,22
ANDAMAN & NICOBAR ISLANDS,2010,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,2010,24,1,12,8,1,0,22
ANDHRA PRADESH,2010,1362,133,283,749,152,15,1332
ANDHRA PRADESH,2010,0,0,0,0,0,0,0
ANDHRA PRADESH,2010,1362,133,283,749,152,15,1332
ARUNACHAL PRADESH,2010,47,10,0,34,1,0,45
ARUNACHAL PRADESH,2010,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,47,10,0,34,1,0,45
ASSAM,2010,1721,9,29,1116,556,10,1720
ASSAM,2010,13,0,0,10,3,0,13
ASSAM,2010,1708,9,29,1106,553,10,1707
BIHAR,2010,795,17,89,616,65,0,787
BIHAR,2010,2,1,0,0,0,0,1
BIHAR,2010,793,16,89,616,65,0,786
CHANDIGARH,2010,31,8,4,15,0,0,27
CHANDIGARH,2010,0,0,0,0,0,0,0
CHANDIGARH,2010,31,8,4,15,0,0,27
CHHATTISGARH,2010,1012,87,271,424,190,16,988
CHHATTISGARH,2010,21,2,3,13,3,0,21
CHHATTISGARH,2010,991,85,268,411,187,16,967
DADRA & NAGAR HAVELI,2010,3,1,1,0,0,0,2
DADRA & NAGAR HAVELI,2010,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,2010,3,1,1,0,0,0,2
DAMAN & DIU,2010,1,0,0,0,0,0,0
DAMAN & DIU,2010,0,0,0,0,0,0,0
DAMAN & DIU,2010,1,0,0,0,0,0,0
DELHI,2010,507,79,174,168,34,1,456
DELHI,2010,21,11,3,1,0,0,15
DELHI,2010,486,68,171,167,34,1,441
GOA,2010,36,5,14,11,0,2,32
GOA,2010,2,0,2,0,0,0,2
GOA,2010,34,5,12,11,0,2,30
GUJARAT,2010,408,28,53,261,42,2,386
GUJARAT,2010,4,0,2,1,0,0,3
GUJARAT,2010,404,28,51,260,42,2,383
HARYANA,2010,720,23,80,481,127,5,716
HARYANA,2010,15,1,1,11,2,0,15
HARYANA,2010,705,22,79,470,125,5,701
HIMACHAL PRADESH,2010,160,16,48,67,20,1,152
HIMACHAL PRADESH,2010,7,3,2,1,0,1,7
HIMACHAL PRADESH,2010,153,13,46,66,20,0,145
JAMMU & KASHMIR,2010,245,1,7,187,50,0,245
JAMMU & KASHMIR,2010,0,0,0,0,0,0,0
JAMMU & KASHMIR,2010,245,1,7,187,50,0,245
JHARKHAND,2010,773,0,0,604,169,0,773
JHARKHAND,2010,11,0,0,10,1,0,11
JHARKHAND,2010,762,0,0,594,168,0,762
KARNATAKA,2010,586,47,69,369,88,3,576
KARNATAKA,2010,2,0,0,2,0,0,2
KARNATAKA,2010,584,47,69,367,88,3,574
KERALA,2010,634,48,133,328,86,12,607
KERALA,2010,14,5,2,2,0,0,9
KERALA,2010,620,43,131,326,86,12,598
LAKSHADWEEP,2010,0,0,0,0,0,0,0
LAKSHADWEEP,2010,0,0,0,0,0,0,0
LAKSHADWEEP,2010,0,0,0,0,0,0,0
MADHYA PRADESH,2010,3135,304,826,1364,577,12,3083
MADHYA PRADESH,2010,21,1,10,4,4,0,19
MADHYA PRADESH,2010,3114,303,816,1360,573,12,3064
MAHARASHTRA,2010,1599,134,515,675,168,11,1503
MAHARASHTRA,2010,44,8,13,18,1,0,40
MAHARASHTRA,2010,1555,126,502,657,167,11,1463
MANIPUR,2010,34,2,8,20,3,0,33
MANIPUR,2010,0,0,0,0,0,0,0
MANIPUR,2010,34,2,8,20,3,0,33
MEGHALAYA,2010,149,34,26,41,17,0,118
MEGHALAYA,2010,8,4,1,1,0,0,6
MEGHALAYA,2010,141,30,25,40,17,0,112
MIZORAM,2010,92,17,15,29,17,4,82
MIZORAM,2010,3,0,1,0,0,0,1
MIZORAM,2010,89,17,14,29,17,4,81
NAGALAND,2010,16,1,2,6,6,0,15
NAGALAND,2010,1,0,1,0,0,0,1
NAGALAND,2010,15,1,1,6,6,0,14
ODISHA,2010,1025,17,44,787,159,5,1012
ODISHA,2010,37,12,21,2,0,0,35
ODISHA,2010,988,5,23,785,159,5,977
PUDUCHERRY,2010,3,0,3,0,0,0,3
PUDUCHERRY,2010,0,0,0,0,0,0,0
PUDUCHERRY,2010,3,0,3,0,0,0,3
PUNJAB,2010,546,39,83,346,55,1,524
PUNJAB,2010,17,4,7,5,0,0,16
PUNJAB,2010,529,35,76,341,55,1,508
RAJASTHAN,2010,1571,72,277,805,346,36,1536
RAJASTHAN,2010,24,2,6,10,4,0,22
RAJASTHAN,2010,1547,70,271,795,342,36,1514
SIKKIM,2010,18,7,2,1,2,0,12
SIKKIM,2010,2,1,0,0,0,0,1
SIKKIM,2010,16,6,2,1,2,0,11
TAMIL NADU,2010,686,50,139,411,66,0,666
TAMIL NADU,2010,0,0,0,0,0,0,0
TAMIL NADU,2010,686,50,139,411,66,0,666
TRIPURA,2010,238,27,61,93,38,0,219
TRIPURA,2010,0,0,0,0,0,0,0
TRIPURA,2010,238,27,61,93,38,0,219
UTTAR PRADESH,2010,1563,162,246,862,250,0,1520
UTTAR PRADESH,2010,4,1,2,1,0,0,4
UTTAR PRADESH,2010,1559,161,244,861,250,0,1516
UTTARAKHAND,2010,121,3,5,92,19,0,119
UTTARAKHAND,2010,11,2,2,5,1,0,10
UTTARAKHAND,2010,110,1,3,87,18,0,109
WEST BENGAL,2010,2311,22,51,1779,459,0,2311
WEST BENGAL,2010,4,1,0,2,1,0,4
WEST BENGAL,2010,2307,21,51,1777,458,0,2307
ANDAMAN & NICOBAR ISLANDS,2011,3,0,3,0,0,0,3
ANDAMAN & NICOBAR ISLANDS,2011,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,2011,3,0,3,0,0,0,3
ANDHRA PRADESH,2011,1070,110,201,572,128,7,1018
ANDHRA PRADESH,2011,7,0,4,3,0,0,7
ANDHRA PRADESH,2011,1063,110,197,569,128,7,1011
ARUNACHAL PRADESH,2011,48,0,0,42,5,0,47
ARUNACHAL PRADESH,2011,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,48,0,0,42,5,0,47
ASSAM,2011,1437,0,40,898,485,14,1437
ASSAM,2011,1,0,1,0,0,0,1
ASSAM,2011,1436,0,39,898,485,14,1436
BIHAR,2011,1555,28,79,1186,253,0,1546
BIHAR,2011,2,2,0,0,0,0,2
BIHAR,2011,1553,26,79,1186,253,0,1544
CHANDIGARH,2011,22,3,2,11,3,0,19
CHANDIGARH,2011,2,1,0,0,0,0,1
CHANDIGARH,2011,20,2,2,11,3,0,18
CHHATTISGARH,2011,982,117,219,500,101,13,950
CHHATTISGARH,2011,63,10,31,14,6,0,61
CHHATTISGARH,2011,919,107,188,486,95,13,889
DADRA & NAGAR HAVELI,2011,7,2,4,0,0,0,6
DADRA & NAGAR HAVELI,2011,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,2011,7,2,4,0,0,0,6
DAMAN & DIU,2011,1,0,0,1,0,0,1
DAMAN & DIU,2011,0,0,0,0,0,0,0
DAMAN & DIU,2011,1,0,0,1,0,0,1
DELHI,2011,598,94,228,179,24,1,526
DELHI,2011,18,2,9,5,0,0,16
DELHI,2011,580,92,219,174,24,1,510
GOA,2011,20,4,7,4,1,0,16
GOA,2011,1,0,1,0,0,0,1
GOA,2011,19,4,6,4,1,0,15
GUJARAT,2011,316,30,51,180,37,1,299
GUJARAT,2011,3,0,1,0,1,0,2
GUJARAT,2011,313,30,50,180,36,1,297
HARYANA,2011,488,26,79,322,41,3,471
HARYANA,2011,3,2,0,1,0,0,3
HARYANA,2011,485,24,79,321,41,3,468
HIMACHAL PRADESH,2011,159,19,46,58,23,2,148
HIMACHAL PRADESH,2011,2,0,0,0,1,0,1
HIMACHAL PRADESH,2011,157,19,46,58,22,2,147
JAMMU & KASHMIR,2011,288,5,10,176,97,0,288
JAMMU & KASHMIR,2011,0,0,0,0,0,0,0
JAMMU & KASHMIR,2011,288,5,10,176,97,0,288
JHARKHAND,2011,855,15,8,639,188,5,855
JHARKHAND,2011,0,0,0,0,0,0,0
JHARKHAND,2011,855,15,8,639,188,5,855
KARNATAKA,2011,436,32,32,297,48,7,416
KARNATAKA,2011,2,0,1,1,0,0,2
KARNATAKA,2011,434,32,31,296,48,7,414
KERALA,2011,512,45,115,262,63,5,490
KERALA,2011,21,5,4,11,0,0,20
KERALA,2011,491,40,111,251,63,5,470
LAKSHADWEEP,2011,1,0,0,1,0,0,1
LAKSHADWEEP,2011,0,0,0,0,0,0,0
LAKSHADWEEP,2011,1,0,0,1,0,0,1
MADHYA PRADESH,2011,3010,287,692,1399,525,43,2946
MADHYA PRADESH,2011,49,7,23,14,4,0,48
MADHYA PRADESH,2011,2961,280,669,1385,521,43,2898
MAHARASHTRA,2011,1451,125,393,659,168,13,1358
MAHARASHTRA,2011,40,5,9,13,9,0,36
MAHARASHTRA,2011,1411,120,384,646,159,13,1322
MANIPUR,2011,20,2,0,14,2,0,18
MANIPUR,2011,1,0,0,0,0,0,0
MANIPUR,2011,19,2,0,14,2,0,18
MEGHALAYA,2011,82,12,19,36,2,0,69
MEGHALAYA,2011,9,0,1,6,0,0,7
MEGHALAYA,2011,73,12,18,30,2,0,62
MIZORAM,2011,83,23,18,10,7,2,60
MIZORAM,2011,2,0,0,0,0,1,1
MIZORAM,2011,81,23,18,10,7,1,59
NAGALAND,2011,13,0,3,6,4,0,13
NAGALAND,2011,1,0,1,0,0,0,1
NAGALAND,2011,12,0,2,6,4,0,12
ODISHA,2011,939,41,42,659,188,0,930
ODISHA,2011,0,0,0,0,0,0,0
ODISHA,2011,939,41,42,659,188,0,930
PUDUCHERRY,2011,9,0,2,6,0,0,8
PUDUCHERRY,2011,0,0,0,0,0,0,0
PUDUCHERRY,2011,9,0,2,6,0,0,8
PUNJAB,2011,519,38,71,302,79,3,493
PUNJAB,2011,7,0,6,1,0,0,7
PUNJAB,2011,512,38,65,301,79,3,486
RAJASTHAN,2011,1238,79,286,639,187,8,1199
RAJASTHAN,2011,42,7,13,15,3,1,39
RAJASTHAN,2011,1196,72,273,624,184,7,1160
SIKKIM,2011,24,3,5,5,1,0,14
SIKKIM,2011,4,0,1,0,0,0,1
SIKKIM,2011,20,3,4,5,1,0,13
TAMIL NADU,2011,523,41,89,346,35,1,512
TAMIL NADU,2011,2,0,1,0,0,0,1
TAMIL NADU,2011,521,41,88,346,35,1,511
TRIPURA,2011,157,14,16,113,11,0,154
TRIPURA,2011,0,0,0,0,0,0,0
TRIPURA,2011,157,14,16,113,11,0,154
UTTAR PRADESH,2011,1648,109,349,910,267,0,1635
UTTAR PRADESH,2011,1,0,0,0,0,0,0
UTTAR PRADESH,2011,1647,109,349,910,267,0,1635
UTTARAKHAND,2011,117,9,7,74,26,0,116
UTTARAKHAND,2011,8,2,4,2,0,0,8
UTTARAKHAND,2011,109,7,3,72,26,0,108
WEST BENGAL,2011,2106,42,36,1478,531,5,2092
WEST BENGAL,2011,114,2,3,81,25,0,111
WEST BENGAL,2011,1992,40,33,1397,506,5,1981
ANDAMAN & NICOBAR ISLANDS,2012,12,1,7,3,1,0,12
ANDAMAN & NICOBAR ISLANDS,2012,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,2012,12,1,7,3,1,0,12
ANDHRA PRADESH,2012,1257,126,237,660,174,11,1208
ANDHRA PRADESH,2012,13,2,1,5,1,2,11
ANDHRA PRADESH,2012,1244,124,236,655,173,9,1197
ARUNACHAL PRADESH,2012,42,7,0,31,0,0,38
ARUNACHAL PRADESH,2012,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,42,7,0,31,0,0,38
ASSAM,2012,1438,5,20,849,541,21,1436
ASSAM,2012,7,0,0,5,2,0,7
ASSAM,2012,1431,5,20,844,539,21,1429
BIHAR,2012,1302,11,80,1028,159,24,1302
BIHAR,2012,3,0,0,1,2,0,3
BIHAR,2012,1299,11,80,1027,157,24,1299
CHANDIGARH,2012,20,3,7,7,1,0,18
CHANDIGARH,2012,3,0,2,1,0,0,3
CHANDIGARH,2012,17,3,5,6,1,0,15
CHHATTISGARH,2012,978,80,307,388,176,3,954
CHHATTISGARH,2012,31,3,15,12,1,0,31
CHHATTISGARH,2012,947,77,292,376,175,3,923
DADRA & NAGAR HAVELI,2012,6,1,2,3,0,0,6
DADRA & NAGAR HAVELI,2012,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,2012,6,1,2,3,0,0,6
DAMAN & DIU,2012,0,0,0,0,0,0,0
DAMAN & DIU,2012,0,0,0,0,0,0,0
DAMAN & DIU,2012,0,0,0,0,0,0,0
DELHI,2012,466,95,135,133,30,6,399
DELHI,2012,37,12,8,10,1,4,35
DELHI,2012,429,83,127,123,29,2,364
GOA,2012,30,6,11,7,3,2,29
GOA,2012,0,0,0,0,0,0,0
GOA,2012,30,6,11,7,3,2,29
GUJARAT,2012,374,27,57,217,57,1,359
GUJARAT,2012,4,1,2,1,0,0,4
GUJARAT,2012,370,26,55,216,57,1,355
HARYANA,2012,631,22,38,495,61,5,621
HARYANA,2012,8,1,2,4,0,1,8
HARYANA,2012,623,21,36,491,61,4,613
HIMACHAL PRADESH,2012,157,16,44,68,20,1,149
HIMACHAL PRADESH,2012,1,1,0,0,0,0,1
HIMACHAL PRADESH,2012,156,15,44,68,20,1,148
JAMMU & KASHMIR,2012,219,0,3,155,59,0,217
JAMMU & KASHMIR,2012,0,0,0,0,0,0,0
JAMMU & KASHMIR,2012,219,0,3,155,59,0,217
JHARKHAND,2012,791,2,5,662,119,2,790
JHARKHAND,2012,12,0,0,7,5,0,12
JHARKHAND,2012,779,2,5,655,114,2,778
KARNATAKA,2012,446,24,52,301,47,1,425
KARNATAKA,2012,0,0,0,0,0,0,0
KARNATAKA,2012,446,24,52,301,47,1,425
KERALA,2012,568,51,139,274,73,6,543
KERALA,2012,17,6,6,4,1,0,17
KERALA,2012,551,45,133,270,72,6,526
LAKSHADWEEP,2012,2,0,0,1,1,0,2
LAKSHADWEEP,2012,0,0,0,0,0,0,0
LAKSHADWEEP,2012,2,0,0,1,1,0,2
MADHYA PRADESH,2012,2937,227,596,1548,477,20,2868
MADHYA PRADESH,2012,52,9,20,15,5,0,49
MADHYA PRADESH,2012,2885,218,576,1533,472,20,2819
MAHARASHTRA,2012,1558,135,441,707,161,5,1449
MAHARASHTRA,2012,35,5,8,11,6,1,31
MAHARASHTRA,2012,1523,130,433,696,155,4,1418
MANIPUR,2012,38,8,8,12,1,0,29
MANIPUR,2012,0,0,0,0,0,0,0
MANIPUR,2012,38,8,8,12,1,0,29
MEGHALAYA,2012,88,17,14,47,4,0,82
MEGHALAYA,2012,5,3,0,1,0,0,4
MEGHALAYA,2012,83,14,14,46,4,0,78
MIZORAM,2012,77,4,5,49,10,0,68
MIZORAM,2012,3,1,1,1,0,0,3
MIZORAM,2012,74,3,4,48,10,0,65
NAGALAND,2012,19,0,0,19,0,0,19
NAGALAND,2012,1,0,0,1,0,0,1
NAGALAND,2012,18,0,0,18,0,0,18
ODISHA,2012,1113,27,24,645,388,12,1096
ODISHA,2012,17,0,1,13,1,0,15
ODISHA,2012,1096,27,23,632,387,12,1081
PUDUCHERRY,2012,8,1,3,3,1,0,8
PUDUCHERRY,2012,0,0,0,0,0,0,0
PUDUCHERRY,2012,8,1,3,3,1,0,8
PUNJAB,2012,517,36,45,359,47,5,492
PUNJAB,2012,2,0,0,1,1,0,2
PUNJAB,2012,515,36,45,358,46,5,490
RAJASTHAN,2012,1355,116,275,706,219,10,1326
RAJASTHAN,2012,40,6,7,21,4,0,38
RAJASTHAN,2012,1315,110,268,685,215,10,1288
SIKKIM,2012,20,3,1,8,0,0,12
SIKKIM,2012,1,0,0,0,0,0,0
SIKKIM,2012,19,3,1,8,0,0,12
TAMIL NADU,2012,573,29,131,340,46,0,546
TAMIL NADU,2012,1,0,0,0,0,0,0
TAMIL NADU,2012,572,29,131,340,46,0,546
TRIPURA,2012,204,23,65,96,4,0,188
TRIPURA,2012,0,0,0,0,0,0,0
TRIPURA,2012,204,23,65,96,4,0,188
UTTAR PRADESH,2012,1871,171,685,785,186,0,1827
UTTAR PRADESH,2012,1,0,0,0,1,0,1
UTTAR PRADESH,2012,1870,171,685,785,185,0,1826
UTTARAKHAND,2012,87,4,5,64,14,0,87
UTTARAKHAND,2012,6,2,1,2,1,0,6
UTTARAKHAND,2012,81,2,4,62,13,0,81
WEST BENGAL,2012,2263,53,54,1629,504,1,2241
WEST BENGAL,2012,9,2,1,1,0,0,4
WEST BENGAL,2012,2254,51,53,1628,504,1,2237
ANDAMAN & NICOBAR ISLANDS,2013,18,3,7,5,1,0,16
ANDAMAN & NICOBAR ISLANDS,2013,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,2013,18,3,7,5,1,0,16
ANDHRA PRADESH,2013,1188,167,208,642,116,14,1147
ANDHRA PRADESH,2013,2,0,2,0,0,0,2
ANDHRA PRADESH,2013,1186,167,206,642,116,14,1145
ARUNACHAL PRADESH,2013,59,12,0,42,1,0,55
ARUNACHAL PRADESH,2013,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,59,12,0,42,1,0,55
ASSAM,2013,1631,6,3,1230,377,14,1630
ASSAM,2013,9,0,0,7,2,0,9
ASSAM,2013,1622,6,3,1223,375,14,1621
BIHAR,2013,929,19,32,765,101,0,917
BIHAR,2013,1,0,0,1,0,0,1
BIHAR,2013,928,19,32,764,101,0,916
CHANDIGARH,2013,29,8,10,8,0,0,26
CHANDIGARH,2013,0,0,0,0,0,0,0
CHANDIGARH,2013,29,8,10,8,0,0,26
CHHATTISGARH,2013,976,227,87,460,113,9,896
CHHATTISGARH,2013,24,2,8,6,5,2,23
CHHATTISGARH,2013,952,225,79,454,108,7,873
DADRA & NAGAR HAVELI,2013,4,2,0,2,0,0,4
DADRA & NAGAR HAVELI,2013,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,2013,4,2,0,2,0,0,4
DAMAN & DIU,2013,1,0,0,0,0,0,0
DAMAN & DIU,2013,0,0,0,0,0,0,0
DAMAN & DIU,2013,1,0,0,0,0,0,0
DELHI,2013,469,72,188,141,20,1,422
DELHI,2013,19,3,5,6,2,0,16
DELHI,2013,450,69,183,135,18,1,406
GOA,2013,47,11,21,15,2,0,49
GOA,2013,1,0,1,0,0,0,1
GOA,2013,46,11,20,15,2,0,48
GUJARAT,2013,433,27,50,308,32,1,418
GUJARAT,2013,18,2,3,10,2,0,17
GUJARAT,2013,415,25,47,298,30,1,401
HARYANA,2013,603,27,70,430,54,3,584
HARYANA,2013,12,2,0,7,1,0,10
HARYANA,2013,591,25,70,423,53,3,574
HIMACHAL PRADESH,2013,183,16,55,84,16,0,171
HIMACHAL PRADESH,2013,10,2,5,1,1,0,9
HIMACHAL PRADESH,2013,173,14,50,83,15,0,162
JAMMU & KASHMIR,2013,237,1,3,177,52,2,235
JAMMU & KASHMIR,2013,4,1,0,2,1,0,4
JAMMU & KASHMIR,2013,233,0,3,175,51,2,231
JHARKHAND,2013,719,0,5,494,216,0,715
JHARKHAND,2013,22,0,0,16,6,0,22
JHARKHAND,2013,697,0,5,478,210,0,693
KARNATAKA,2013,509,49,18,361,38,4,470
KARNATAKA,2013,18,0,0,17,1,0,18
KARNATAKA,2013,491,49,18,344,37,4,452
KERALA,2013,568,45,157,253,70,10,535
KERALA,2013,18,3,7,4,1,0,15
KERALA,2013,550,42,150,249,69,10,520
LAKSHADWEEP,2013,1,0,0,1,0,0,1
LAKSHADWEEP,2013,0,0,0,0,0,0,0
LAKSHADWEEP,2013,1,0,0,1,0,0,1
MADHYA PRADESH,2013,2998,291,704,1405,511,11,2922
MADHYA PRADESH,2013,14,1,9,2,1,0,13
MADHYA PRADESH,2013,2984,290,695,1403,510,11,2909
MAHARASHTRA,2013,1483,121,363,713,157,8,1362
MAHARASHTRA,2013,76,3,19,47,3,0,72
MAHARASHTRA,2013,1407,118,344,666,154,8,1290
MANIPUR,2013,31,5,2,9,9,1,26
MANIPUR,2013,0,0,0,0,0,0,0
MANIPUR,2013,31,5,2,9,9,1,26
MEGHALAYA,2013,112,23,19,41,7,3,93
MEGHALAYA,2013,5,2,1,1,0,0,4
MEGHALAYA,2013,107,21,18,40,7,3,89
MIZORAM,2013,83,3,3,42,30,0,78
